id,description,calories,protein_g,carbs_g,fat_g,quantity,complexity,naming,ingredients,notes
meal_022,"owsianka z: 1/2 szklanki płatków owsianych błyskawicznych, 1 i 1/2 szklanki mleka 3.2%, 80g twarogu półtłustego, 30g białka whey","641,95","55,22","57,44","20,38",explicit,composite,generic,"płatki owsiane błyskawiczne,55;mleko 3.2%,345;twaróg półtłusty,80;whey protein,30",
meal_023,"śniadaniowa, proteinowa owsianka na mleku z twarogiem półtłustym i białkiem whey","641,95","55,22","57,44","20,38",explicit,composite,generic,"płatki owsiane błyskawiczne,55;mleko 3.2%,345;twaróg półtłusty,80;whey protein,30",
meal_024,"porcja dania składającego się z polędwiczki wieprzowej, cebuli, trochę masła klarowanego, bulion drobiowy, 1/4 łyżeczki musztardy dijon i 1/4 kubka śmietany 30","332,005","28,03775","5,39675","21,86125",vague,complex,generic,"Polędwiczka wieprzowa wędzona,110;cebula żółta,25;Masło klarowane,3,75;Bulion drobiowy,15;Musztarda Dijon,2;Śmietanka 30%,50",
meal_025,domowa mała pizza napoletana z parmezanem i szynką prosciutto crudo,"785,998","41,8978","124,5676","11,869",vague,complex,generic,"mąka caputo 00,170;woda,105;drożdże piekarskie,0,2;sól,4,4;Pomidory krojone,57;parmezan,10;prosciutto crudo,60",
meal_026,"domowa mała pizza napoletana (ciasto 62% wilgotności): 170g mąki caputo 00, 57g pomidorów krojonych z puszki, łyżka parmezanu tartego, 4 plastry szynki porsciutto crudo","785,998","41,8978","124,5676","11,869",explicit,complex,generic,"mąka caputo 00,170;woda,105;drożdże piekarskie,0,2;sól,4,4;Pomidory krojone,57;parmezan,10;prosciutto crudo,60",
meal_027,duża porcja burrito bowl z mięsem mielonym z indyka,"925,7","47,9","57,95","54,53",vague,complex,generic,"ryż biały,50;oliwa z oliwek,10;mięso mielone z indyka,100;kukurydza konserwowa,60;czarna fasola z puszki,60;awokado,70;pomidor,100;ser cheddar,30;śmietana 18%,50",
meal_028,"burrito bowl z: 50g ryżu białego, 2 łyżkami oliwy z oliwek, 100g mięsa mielonego z indyka, pół małej puszki kukurydzy konserwowej, pół małej puszki czarnej fasoli z puszki, pół awokado, pomidor, 30g sera cheddar, 2 łyżki śmietany 18%","925,7","47,9","57,95","54,53",explicit,complex,generic,"ryż biały,50;oliwa z oliwek,10;mięso mielone z indyka,100;kukurydza konserwowa,60;czarna fasola z puszki,60;awokado,70;pomidor,100;ser cheddar,30;śmietana 18%,50",
meal_029,"Popeyes zestaw kanapka deluxe spicy, 3pc tenders, średnie frytki z przyprawą cajun i duży shake waniliowy. Do tego cheeseburger z mcdonalds, 0.5 l cocacoli i 250ml cocacoli zero","2486,49","105,8904","261,6904","115,685",explicit,complex,branded,"Kanapka Deluxe Spicy Popeyes (Popeyes),273;3 pc tenders,100;cajun fries medium,100;shake waniliowy,400;cheeseburger mcdonalds,120;500ml cocacola,500;250ml cocacola zero,250",
meal_030,"1/4 główki sałaty rzymskiej, 4 łyżki tartego parmezanu, 1 kajzerka, 1/2 łyżki masła, 1 ząbek czosnku, 1 łyżka majonezu, 1 łyżeczka musztardy, 150g filetu z kurczaka","681,78","48,644","34,002","37,795",explicit,complex,generic,"1/4 główki sałaty rzymskiej,120;4 łyżki tartego parmezanu,32;1 kajzerka,50;1/2 łyżki masła,5;1 ząbek czosnku,5;1 łyżka majonezu,25;1 łyżeczka musztardy,10;150g filetu z kurczaka,150",
meal_031,porcja sałatki cezar z kurczakiem,"681,78","48,644","34,002","37,795",vague,complex,generic,"1/4 główki sałaty rzymskiej,120;4 łyżki tartego parmezanu,32;1 kajzerka,50;1/2 łyżki masła,5;1 ząbek czosnku,5;1 łyżka majonezu,25;1 łyżeczka musztardy,10;150g filetu z kurczaka,150",
